,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,8/25/2024,15:30,Bundesliga,Matchweek 1,Sun,Away,W,3,2,Wolfsburg,2.4,1.9,70,30000,Manuel Neuer,4-2-3-1,4-2-3-1,,Match Report,,15,8,11.1,0,0,0,2025,Bayern Munich
2,9/1/2024,17:30,Bundesliga,Matchweek 2,Sun,Home,W,2,0,Freiburg,1.5,1,66,75000,Manuel Neuer,4-1-4-1,4-2-3-1,Christian Dingert,Match Report,,11,2,16,0,1,1,2025,Bayern Munich
3,9/14/2024,18:30,Bundesliga,Matchweek 3,Sat,Away,W,6,1,Holstein Kiel,3.2,0.3,70,15034,Manuel Neuer,4-2-3-1,4/3/2003,Tobias Reichel,Match Report,,22,11,15.9,0,1,1,2025,Bayern Munich
5,9/21/2024,15:30,Bundesliga,Matchweek 4,Sat,Away,W,5,0,Werder Bremen,3,0,69,42100,Joshua Kimmich,4-2-3-1,3/5/2002,Bastian Dankert,Match Report,,25,7,17.3,1,0,0,2025,Bayern Munich
6,9/28/2024,18:30,Bundesliga,Matchweek 5,Sat,Home,D,1,1,Leverkusen,1.4,0.1,69,75000,Manuel Neuer,4-2-3-1,3/4/2003,Felix Zwayer,Match Report,,18,3,19.3,1,0,0,2025,Bayern Munich
8,10/6/2024,17:30,Bundesliga,Matchweek 6,Sun,Away,D,3,3,Eint Frankfurt,2.2,1.2,74,58000,Manuel Neuer,4-2-3-1,4/4/2002,Benjamin Brand,Match Report,,24,13,17.5,2,0,0,2025,Bayern Munich
9,10/19/2024,18:30,Bundesliga,Matchweek 7,Sat,Home,W,4,0,Stuttgart,3.2,0.5,65,75000,Manuel Neuer,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,22,10,15.9,0,0,0,2025,Bayern Munich
11,10/27/2024,15:30,Bundesliga,Matchweek 8,Sun,Away,W,5,0,Bochum,2.2,0.6,72,26000,Manuel Neuer,4-2-3-1,3/5/2002,Florian Exner,Match Report,,19,10,17,1,0,0,2025,Bayern Munich
13,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Home,W,3,0,Union Berlin,2.5,0.5,77,75000,Manuel Neuer,4-2-3-1,3/4/2003,Matthias Jöllenbeck,Match Report,,15,6,16.6,0,1,1,2025,Bayern Munich
15,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Away,W,1,0,St. Pauli,0.8,0.1,75,29546,Manuel Neuer,4-2-3-1,5/4/2001,Timo Gerach,Match Report,,13,6,19,0,0,0,2025,Bayern Munich
16,11/22/2024,20:30,Bundesliga,Matchweek 11,Fri,Home,W,3,0,Augsburg,3.7,0.1,80,75000,Manuel Neuer,4-2-3-1,3/5/2002,Daniel Schlager,Match Report,,31,12,18.1,1,2,2,2025,Bayern Munich
18,11/30/2024,18:30,Bundesliga,Matchweek 12,Sat,Away,D,1,1,Dortmund,1.5,0.6,67,81365,Manuel Neuer,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,14,5,19.4,2,0,0,2025,Bayern Munich
20,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Home,W,4,2,Heidenheim,2.4,1.3,82,75000,Thomas Müller,4-2-3-1,5/3/2002,Sören Storks,Match Report,,21,10,15.8,0,0,0,2025,Bayern Munich
22,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,2,Mainz 05,1.4,1,68,33305,Thomas Müller,4-2-3-1,3/4/2003,Frank Willenborg,Match Report,,13,1,16.2,0,0,0,2025,Bayern Munich
23,12/20/2024,20:30,Bundesliga,Matchweek 15,Fri,Home,W,5,1,RB Leipzig,3.3,0.4,71,75000,Joshua Kimmich,4-2-3-1,5/3/2002,Daniel Siebert,Match Report,,22,9,14.6,1,0,0,2025,Bayern Munich
1,8/23/2024,20:30,Bundesliga,Matchweek 1,Fri,Away,W,3,2,Gladbach,2.7,1.6,57,54042,Lukáš Hrádecký,3/4/2003,4-2-3-1,,Match Report,,24,9,18.3,1,0,1,2025,Bayer Leverkusen
3,8/31/2024,18:30,Bundesliga,Matchweek 2,Sat,Home,L,2,3,RB Leipzig,2.2,1.1,62,29615,Jonathan Tah,3/4/2003,3/4/2003,Matthias Jöllenbeck,Match Report,,26,10,15.6,0,0,0,2025,Bayer Leverkusen
4,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Away,W,4,1,Hoffenheim,3.5,0.9,60,30150,Lukáš Hrádecký,3/4/2003,3-4-1-2,Daniel Schlager,Match Report,,19,6,15.8,1,1,1,2025,Bayer Leverkusen
6,9/22/2024,15:30,Bundesliga,Matchweek 4,Sun,Home,W,4,3,Wolfsburg,1.9,0.7,78,29250,Lukáš Hrádecký,3/4/2003,4-1-4-1,Sascha Stegemann,Match Report,,20,7,16.3,0,0,0,2025,Bayer Leverkusen
7,9/28/2024,18:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Bayern Munich,0.1,1.4,31,75000,Lukáš Hrádecký,3/4/2003,4-2-3-1,Felix Zwayer,Match Report,,3,2,40.5,0,0,0,2025,Bayer Leverkusen
9,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Holstein Kiel,2.1,1.6,74,30210,Lukáš Hrádecký,3/4/2003,3/5/2002,Robert Hartmann,Match Report,,23,7,18.3,0,0,0,2025,Bayer Leverkusen
10,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Home,W,2,1,Eint Frankfurt,3.8,1.9,54,30210,Lukáš Hrádecký,3/4/2003,4/4/2002,Felix Brych,Match Report,,26,8,17.4,0,0,1,2025,Bayer Leverkusen
12,10/26/2024,18:30,Bundesliga,Matchweek 8,Sat,Away,D,2,2,Werder Bremen,1.3,1.6,57,42100,Lukáš Hrádecký,3/4/2003,3/4/2003,Florian Badstübner,Match Report,,14,5,15.2,1,0,0,2025,Bayer Leverkusen
14,11/1/2024,20:30,Bundesliga,Matchweek 9,Fri,Home,D,0,0,Stuttgart,2.2,0.3,53,30210,Lukáš Hrádecký,3/4/2003,4/4/2002,Daniel Siebert,Match Report,,19,5,13.4,0,0,0,2025,Bayer Leverkusen
16,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Away,D,1,1,Bochum,1.2,0.7,70,26000,Lukáš Hrádecký,3/4/2003,5/4/2001,Robert Hartmann,Match Report,,11,3,16.4,0,0,0,2025,Bayer Leverkusen
17,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Home,W,5,2,Heidenheim,2.2,1.1,78,29103,Lukáš Hrádecký,3/4/2003,4-3-1-2,Bastian Dankert,Match Report,,20,10,17.8,0,0,0,2025,Bayer Leverkusen
19,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Away,W,2,1,Union Berlin,0.9,0.7,62,22012,Lukáš Hrádecký,4/5/2001,3/4/2003,Christian Dingert,Match Report,,8,3,16.2,1,0,0,2025,Bayer Leverkusen
21,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,St. Pauli,0.9,1.8,62,30210,Lukáš Hrádecký,3/5/2002,3/4/2003,Matthias Jöllenbeck,Match Report,,6,2,18.6,1,0,0,2025,Bayer Leverkusen
23,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Away,W,2,0,Augsburg,0.8,0.6,65,29310,Lukáš Hrádecký,3/4/2003,3-1-4-2,Felix Zwayer,Match Report,,14,3,22.1,3,0,0,2025,Bayer Leverkusen
24,12/21/2024,18:30,Bundesliga,Matchweek 15,Sat,Home,W,5,1,Freiburg,2.8,0.7,67,30210,Lukáš Hrádecký,3/4/2003,4-2-3-1,Tobias Stieler,Match Report,,19,11,15.6,0,0,1,2025,Bayer Leverkusen
1,8/24/2024,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0,2,Dortmund,1.4,1.7,31,81365,Kevin Trapp,4-2-3-1,3/4/2003,,Match Report,,7,2,17,0,0,0,2025,Eintracht Frankfurt
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Home,W,3,1,Hoffenheim,2.4,1,50,57100,Kevin Trapp,3/4/2003,3-4-1-2,Florian Badstübner,Match Report,,18,7,15.5,0,0,0,2025,Eintracht Frankfurt
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Away,W,2,1,Wolfsburg,2.5,1.5,40,26281,Kevin Trapp,4/4/2002,4-1-4-1,Harm Osmers,Match Report,,13,5,16.4,0,1,1,2025,Eintracht Frankfurt
4,9/21/2024,18:30,Bundesliga,Matchweek 4,Sat,Home,W,2,0,Gladbach,2.7,1.7,37,58000,Robin Koch,4/4/2002,4-2-3-1,Tobias Welz,Match Report,,18,4,16.2,2,0,0,2025,Eintracht Frankfurt
6,9/29/2024,15:30,Bundesliga,Matchweek 5,Sun,Away,W,4,2,Holstein Kiel,2.1,1.1,53,15034,Robin Koch,4-2-3-1,3/5/2002,Tobias Stieler,Match Report,,20,10,14.6,0,0,0,2025,Eintracht Frankfurt
8,10/6/2024,17:30,Bundesliga,Matchweek 6,Sun,Home,D,3,3,Bayern Munich,1.2,2.2,26,58000,Robin Koch,4/4/2002,4-2-3-1,Benjamin Brand,Match Report,,6,4,16.9,0,0,0,2025,Eintracht Frankfurt
9,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,2,Leverkusen,1.9,3.8,46,30210,Kevin Trapp,4/4/2002,3/4/2003,Felix Brych,Match Report,,8,0,18.8,0,1,1,2025,Eintracht Frankfurt
11,10/27/2024,17:30,Bundesliga,Matchweek 8,Sun,Away,D,1,1,Union Berlin,1.5,1.4,52,22012,Kevin Trapp,3/5/2002,3/4/2003,Harm Osmers,Match Report,,17,5,17.4,1,0,0,2025,Eintracht Frankfurt
13,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Home,W,7,2,Bochum,3.5,1.8,64,58000,Kevin Trapp,4/4/2002,4/4/2002,Daniel Schlager,Match Report,,18,9,17,2,0,0,2025,Eintracht Frankfurt
15,11/10/2024,17:30,Bundesliga,Matchweek 10,Sun,Away,W,3,2,Stuttgart,1.3,2.5,40,60000,Kevin Trapp,4/4/2002,4-2-3-1,Felix Zwayer,Match Report,,8,5,16.6,1,0,0,2025,Eintracht Frankfurt
16,11/23/2024,18:30,Bundesliga,Matchweek 11,Sat,Home,W,1,0,Werder Bremen,1.1,0.4,50,58000,Kevin Trapp,4/4/2002,3/4/2003,Florian Badstübner,Match Report,,15,5,19.6,0,0,0,2025,Eintracht Frankfurt
18,12/1/2024,17:30,Bundesliga,Matchweek 12,Sun,Away,W,4,0,Heidenheim,2.6,0.7,54,15000,Kevin Trapp,4/4/2002,3/4/2003,Florian Exner,Match Report,,14,8,17.2,0,0,0,2025,Eintracht Frankfurt
20,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Home,D,2,2,Augsburg,1.7,0.6,66,57000,Kevin Trapp,4-2-2-2,3/5/2002,Bastian Dankert,Match Report,,16,4,16,0,0,0,2025,Eintracht Frankfurt
